,epoch,iter,D_loss,G_loss,D_x,D_G_z1,D_G_z2,perturbation_norm
0,0.0,0.0,2.30258464813,2.30258464813,0.100000008941,0.100000008941,0.100000008941,1.12795396531e-14
0,0.0,1.0,2.30258440971,2.30258440971,0.100000008941,0.100000008941,0.100000008941,1.12311257909e-14
0,0.0,2.0,2.30258440971,2.30258440971,0.100000008941,0.100000008941,0.100000008941,1.11524694644e-14
0,0.0,3.0,2.30258440971,2.30258440971,0.100000008941,0.100000008941,0.100000008941,1.11568020379e-14
0,0.0,4.0,2.3025841713,2.3025841713,0.100000008941,0.100000008941,0.100000008941,1.11008063839e-14
0,0.0,5.0,2.30258440971,2.30258440971,0.100000008941,0.100000008941,0.100000008941,1.10958969809e-14
0,0.0,6.0,2.30258393288,2.30258393288,0.100000008941,0.100000008941,0.100000008941,1.10503418549e-14
0,0.0,7.0,2.30258393288,2.30258393288,0.100000008941,0.100000008941,0.100000008941,1.10565480653e-14
0,0.0,8.0,2.30258440971,2.30258440971,0.100000008941,0.100000008941,0.100000008941,1.10734150324e-14
0,0.0,9.0,2.30258393288,2.30258393288,0.100000008941,0.100000008941,0.100000008941,1.10703623257e-14
0,0.0,10.0,2.3025841713,2.3025841713,0.100000008941,0.100000008941,0.100000008941,1.11372169421e-14
0,0.0,11.0,2.30258345604,2.30258345604,0.100000008941,0.100000008941,0.100000008941,1.11507228825e-14
0,0.0,12.0,2.3025841713,2.3025841713,0.100000008941,0.100000008941,0.100000008941,1.13402075409e-14
0,0.0,13.0,2.3025841713,2.3025841713,0.10000000149,0.10000000149,0.10000000149,1.15124017158e-14
0,0.0,14.0,2.30258393288,2.30258393288,0.100000008941,0.100000008941,0.100000008941,1.17889689845e-14
0,0.0,15.0,2.30258393288,2.30258393288,0.100000008941,0.100000008941,0.100000008941,1.20385862059e-14
0,0.0,16.0,2.30258440971,2.30258440971,0.100000008941,0.100000008941,0.100000008941,1.24447757736e-14
0,0.0,17.0,2.30258369446,2.30258369446,0.100000008941,0.100000008941,0.100000008941,1.28548845627e-14
0,0.0,18.0,2.30258393288,2.30258393288,0.100000008941,0.100000008941,0.100000008941,1.35792535867e-14
0,0.0,19.0,2.30258369446,2.30258369446,0.10000000149,0.10000000149,0.10000000149,1.470031948e-14
0,0.0,20.0,2.3025829792,2.3025829792,0.100000008941,0.100000008941,0.100000008941,1.64356494316e-14
0,0.0,21.0,2.30258274078,2.30258274078,0.100000008941,0.100000008941,0.100000008941,1.8655404302e-14
0,0.0,22.0,2.30258274078,2.30258274078,0.100000008941,0.100000008941,0.100000008941,2.21234282386e-14
0,0.0,23.0,2.30258226395,2.30258226395,0.100000008941,0.100000008941,0.100000008941,2.6979181828e-14
0,0.0,24.0,2.30258154869,2.30258154869,0.10000000149,0.10000000149,0.10000000149,5.14356454293e-14
0,1.0,0.0,2.30257892609,2.30257892609,0.10000000149,0.10000000149,0.10000000149,4.21176257119e-14
0,1.0,1.0,2.30257630348,2.30257630348,0.10000000149,0.10000000149,0.10000000149,5.93855341421e-14
0,1.0,2.0,2.30257534981,2.30257534981,0.10000000149,0.10000000149,0.10000000149,8.3120908431e-14
0,1.0,3.0,2.30256748199,2.30256748199,0.100000008941,0.100000008941,0.100000008941,1.17356523262e-13
0,1.0,4.0,2.30256199837,2.30256199837,0.099999986589,0.099999986589,0.099999986589,1.66729897575e-13
0,1.0,5.0,2.30255317688,2.30255317688,0.0999999940395,0.0999999940395,0.0999999940395,2.42669708113e-13
0,1.0,6.0,2.30253195763,2.30253195763,0.10000000149,0.10000000149,0.10000000149,3.61346288178e-13
0,1.0,7.0,2.30250525475,2.30250525475,0.10000000149,0.10000000149,0.10000000149,5.33223367804e-13
0,1.0,8.0,2.30245900154,2.30245900154,0.10000000149,0.10000000149,0.10000000149,8.02504059299e-13
0,1.0,9.0,2.30240225792,2.30240225792,0.100000008941,0.100000008941,0.100000008941,1.21256260241e-12
0,1.0,10.0,2.3022813797,2.3022813797,0.10000000149,0.10000000149,0.10000000149,1.83158891699e-12
0,1.0,11.0,2.30213665962,2.30213665962,0.099999986589,0.099999986589,0.099999986589,2.78494761974e-12
0,1.0,12.0,2.30199790001,2.30199790001,0.099999986589,0.099999986589,0.099999986589,4.06127085087e-12
0,1.0,13.0,2.30170822144,2.30170822144,0.10000000149,0.10000000149,0.10000000149,5.96401790801e-12
0,1.0,14.0,2.30116176605,2.30116176605,0.10000000149,0.10000000149,0.10000000149,8.85825267305e-12
0,1.0,15.0,2.30061769485,2.30061769485,0.10000000149,0.10000000149,0.10000000149,1.29319775374e-11
0,1.0,16.0,2.30051660538,2.30051660538,0.0999999940395,0.0999999940395,0.0999999940395,1.81609952771e-11
0,1.0,17.0,2.29855442047,2.29855442047,0.099999986589,0.099999986589,0.099999986589,2.59919065437e-11
